user,employee_name,department,job_title,date,login_count,night_logins,unique_pcs,usb_count,file_activity_count,file_deleted,file_copied,file_accessed,emails_sent,external_emails,email_attachments,http_requests,unique_urls,cctv_anomalies,access_card_anomalies,behavioral_score,anomaly_label,risk_score
USR00001,Sarah Smith,HR,Coordinator,2026-01-22,97,2,2,139,198,18,27,153,13,0,0,497,139,0,8,42.66,1,52.93
USR00002,Emily Davis,Executive,Specialist,2026-01-21,247,0,3,108,716,35,39,642,60,24,10,259,43,12,1,43.96,1,63.49
USR00003,John Davis,Security,Analyst,2026-01-20,136,1,5,92,413,45,8,360,16,5,1,1633,168,2,3,83.29,1,31.45
USR00004,Jennifer Williams,Legal,Director,2026-01-19,93,4,2,43,1113,62,41,1010,123,24,17,1945,347,7,5,95.37,-1,68.1
USR00005,John Garcia,Sales,Specialist,2026-01-18,56,1,6,54,1042,101,164,777,122,9,16,335,146,8,6,86.32,-1,81.47
USR00006,Michael Rodriguez,IT,Analyst,2026-01-17,233,1,2,39,347,50,54,243,157,4,24,831,325,14,8,43.22,1,76.77
USR00007,Sarah Rodriguez,HR,Director,2026-01-16,68,2,7,40,949,0,184,765,189,33,32,1610,111,3,4,85.89,-1,61.14
USR00008,Jennifer Williams,Security,Lead,2026-01-15,40,2,8,4,249,23,19,207,66,1,7,1848,310,2,1,88.45,1,18.23
USR00009,Robert Williams,Operations,Officer,2026-01-14,180,2,5,135,886,54,138,694,198,25,45,688,224,11,7,88.27,-1,96.19
USR00010,Sarah Garcia,Engineering,Associate,2026-01-13,181,3,4,1,165,22,3,140,63,2,1,1810,189,2,8,46.26,-1,54.87
USR00011,Michael Martinez,Executive,Officer,2026-01-12,102,7,7,48,213,6,42,165,115,22,27,891,259,1,1,35.03,1,47.68
USR00012,Sarah Brown,Marketing,Coordinator,2026-01-11,177,7,3,108,395,17,59,319,68,27,2,957,433,3,0,72.83,-1,69.7
USR00013,Sarah Brown,Operations,Consultant,2026-01-10,164,7,4,102,140,5,12,123,5,1,1,1947,421,14,4,70.23,1,68.37
USR00014,Robert Davis,Operations,Coordinator,2026-01-09,115,3,1,148,1130,15,191,924,85,3,1,1246,264,5,0,79.86,-1,66.05
USR00015,Maria Johnson,Marketing,Consultant,2026-01-08,70,4,4,148,101,2,13,86,173,66,20,1964,153,6,5,36.75,1,77.74
USR00016,David Davis,Legal,Analyst,2026-01-07,42,3,2,18,1121,54,129,938,72,4,11,1854,55,7,5,41.71,1,55.54
USR00017,David Martinez,Security,Senior Developer,2026-01-06,210,9,2,34,561,14,13,534,195,70,9,607,164,6,5,42.47,1,78.64
USR00018,Lisa Jones,Engineering,Analyst,2026-01-05,202,13,5,11,27,2,1,24,168,33,10,1568,246,13,8,8.36,1,94.18
USR00019,Michael Rodriguez,Engineering,Director,2026-01-04,189,4,7,32,105,9,11,85,15,2,1,1446,147,3,5,94.45,1,30.28
USR00020,Maria Williams,Marketing,Manager,2026-01-03,244,5,7,6,387,47,42,298,110,42,15,596,101,3,6,100,-1,63.13
USR00021,Lisa Garcia,HR,Coordinator,2026-01-02,97,0,4,102,692,35,17,640,76,11,20,1093,224,10,0,47.61,-1,66.72
USR00022,David Smith,Finance,Associate,2026-01-01,151,5,6,111,1067,29,98,940,152,12,16,140,110,13,0,72.22,1,77.53
USR00023,Emily Garcia,Sales,Analyst,2025-12-31,210,10,6,31,635,64,79,492,175,52,20,874,376,9,8,29.26,1,99.99
USR00024,Michael Martinez,Executive,Specialist,2025-12-30,143,8,1,77,607,26,55,526,153,38,41,709,258,14,7,73.56,1,90.92
USR00025,Michael Johnson,HR,Lead,2025-12-29,209,10,2,60,655,28,50,577,42,0,0,551,263,2,7,58.12,-1,77.02
USR00026,James Davis,Sales,Coordinator,2025-12-28,77,5,1,27,890,56,45,789,183,66,29,152,83,3,7,31.26,1,81.57
USR00027,Robert Martinez,Legal,Officer,2025-12-27,196,13,8,40,992,115,66,811,197,31,53,1355,161,15,3,28.31,1,98.1
USR00028,David Garcia,Legal,Lead,2025-12-26,60,1,3,59,804,88,39,677,185,27,4,899,228,10,8,42.12,1,77.09
USR00029,James Martinez,Engineering,Associate,2025-12-25,137,7,1,90,631,49,109,473,112,34,14,1049,132,8,6,55.03,1,79.43
USR00030,James Williams,IT,Manager,2026-01-23,199,0,7,144,75,1,13,61,39,14,2,152,86,12,5,32.31,1,78.31
USR00031,James Jones,Sales,Specialist,2026-01-22,60,3,1,138,126,11,7,108,171,8,49,1384,40,0,3,20.67,-1,59.39
USR00032,Michael Davis,Finance,Associate,2026-01-21,95,7,5,94,363,38,14,311,46,9,1,1235,33,9,6,59.77,-1,79.87
USR00033,Emily Johnson,HR,Associate,2026-01-20,246,3,1,88,1111,109,169,833,99,4,16,1376,194,0,6,70.37,1,53.56
USR00034,Lisa Williams,Sales,Manager,2026-01-19,227,16,5,137,1010,119,111,780,192,75,17,710,456,7,1,41.7,1,100
USR00035,Maria Martinez,Sales,Director,2026-01-18,47,3,6,46,1018,54,90,874,71,10,8,1852,325,8,8,38.94,-1,84.27
USR00036,James Davis,Security,Coordinator,2026-01-17,216,15,8,114,55,1,4,50,61,12,7,677,359,11,7,58.54,1,92.71
USR00037,Robert Garcia,Legal,Officer,2026-01-16,109,4,5,59,267,12,20,235,35,11,8,1997,410,5,3,38.18,1,49.77
USR00038,Robert Martinez,HR,Analyst,2026-01-15,89,4,4,92,387,19,1,367,186,68,8,611,43,1,8,59.95,1,64.5
USR00039,Lisa Johnson,Engineering,Associate,2026-01-14,112,7,8,112,717,23,13,681,69,27,15,283,53,12,7,32.59,-1,100
USR00040,Michael Martinez,HR,Analyst,2026-01-13,103,1,7,57,1090,97,115,878,118,19,27,675,311,1,1,83.34,-1,58.62
USR00041,Sarah Williams,Marketing,Manager,2026-01-12,181,1,3,0,856,115,152,589,125,18,2,524,167,9,7,18.51,1,79.32
USR00042,Maria Brown,Sales,Analyst,2026-01-11,179,3,3,68,311,4,3,304,47,9,9,1583,442,9,7,38.43,1,64.38
USR00043,David Rodriguez,Security,Officer,2026-01-10,152,1,1,110,680,77,64,539,11,0,1,1430,448,0,4,74.93,-1,56.39
USR00044,Robert Davis,HR,Manager,2026-01-09,189,13,8,23,982,89,104,789,90,20,21,264,239,5,5,53.21,1,88.18
USR00045,James Rodriguez,Engineering,Officer,2026-01-08,62,2,5,82,257,25,32,200,5,2,1,896,47,6,8,58.61,1,52.92
USR00046,John Brown,HR,Lead,2026-01-07,73,2,8,124,268,1,40,227,160,30,45,374,179,0,8,43.46,1,63.76
USR00047,Sarah Davis,Finance,Manager,2026-01-06,167,11,5,130,579,53,106,420,128,30,15,985,302,4,6,40.27,1,86.91
USR00048,Michael Johnson,HR,Consultant,2026-01-05,127,8,5,0,599,38,107,454,155,37,42,1052,463,4,7,57.47,1,71.68
USR00049,Robert Miller,IT,Director,2026-01-04,88,3,7,59,861,11,81,769,195,60,45,1920,435,12,6,100,1,74.62
USR00050,Michael Davis,Engineering,Manager,2026-01-03,168,9,6,25,921,25,134,762,121,0,9,889,465,4,1,74.13,1,51.55
USR00051,James Johnson,Legal,Lead,2026-01-02,137,5,8,138,93,9,2,82,65,20,9,515,402,2,6,100,1,59.71
USR00052,Sarah Davis,Operations,Specialist,2026-01-01,47,0,6,14,620,45,47,528,115,9,15,1137,230,5,2,39.46,1,40.45
USR00053,Emily Davis,Executive,Manager,2025-12-31,99,7,5,117,542,1,102,439,124,18,34,373,57,14,5,89.54,1,76.94
USR00054,David Davis,HR,Coordinator,2025-12-30,138,7,2,60,801,73,91,637,152,18,44,654,31,12,4,35.88,1,78.61
USR00055,John Martinez,IT,Specialist,2025-12-29,238,7,6,56,409,39,32,338,178,17,40,248,180,1,4,65.31,1,57.5
USR00056,Michael Johnson,HR,Director,2025-12-28,231,13,3,51,290,34,56,200,98,33,16,1920,159,5,4,100,1,60.07
USR00057,David Garcia,Finance,Officer,2025-12-27,59,1,4,101,1161,93,23,1045,106,0,16,1148,83,14,5,78.99,1,63.6
USR00058,Jennifer Johnson,Marketing,Officer,2025-12-26,46,2,4,16,970,77,166,727,109,7,8,142,141,1,4,83.76,-1,70.54
USR00059,Robert Williams,Sales,Officer,2025-12-25,134,10,7,150,336,26,12,298,130,39,26,1973,163,1,5,36.86,-1,85.65
USR00060,Jennifer Johnson,Legal,Lead,2026-01-23,205,11,1,101,585,24,15,546,121,5,13,1364,347,0,0,72.53,-1,56.38
USR00061,Maria Brown,Finance,Lead,2026-01-22,93,3,4,84,322,38,0,284,75,27,4,316,296,8,2,43.57,-1,88.87
USR00062,Jennifer Brown,Executive,Director,2026-01-21,44,1,5,13,279,26,33,220,34,11,1,1025,249,11,8,65.35,-1,74.82
USR00063,Maria Smith,Security,Specialist,2026-01-20,157,10,1,15,1000,102,109,789,180,13,31,1508,485,14,1,83.72,-1,89.28
USR00064,Michael Jones,Executive,Associate,2026-01-19,180,11,6,97,1106,75,116,915,134,38,27,253,223,3,8,66.59,1,96.5
USR00065,Emily Miller,Legal,Officer,2026-01-18,142,6,2,80,894,80,170,644,70,11,4,1456,492,15,1,14.83,1,92.29
USR00066,Jennifer Williams,Security,Senior Developer,2026-01-17,190,10,2,105,744,111,108,525,189,6,18,1279,179,11,1,55.79,1,77.75
