user_id,employee_name,department,job_title,date,login_count,logoff_count,night_logins,unique_pcs,session_duration_total,session_duration_avg,usb_connect,usb_disconnect,file_opened,file_copied,file_deleted,file_downloaded,file_uploaded,file_edited,total_file_operations,sensitive_files_accessed,unique_files_accessed,systems_accessed,file_operations_detail,emails_sent,external_mails,email_attachments,avg_email_size,http_requests,unique_urls,O,C,E,A,N,risk_score,anomaly_label,risk_profile
UDA4332,Lisa Brown,Finance,CFO,2024-01-26,2,2,0,2,485,242.5,0,0,9,2,0,0,3,2,16,4,16,"Database_Dev,Git_Repository,SharePoint,Database_Production,Cloud_Storage,SAP_ERP,FileServer_02,FileServer_01,HRMS","[{'operation': 'open', 'file_name': 'internal_payment_20207711.zip', 'system': 'Database_Production', 'is_sensitive': True, 'timestamp': '2024-01-26 14:23:00'}, {'operation': 'open', 'file_name': 'forecast_20227568.json', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-26 13:41:00'}, {'operation': 'open', 'file_name': 'budget_20240448.zip', 'system': 'FileServer_02', 'is_sensitive': False, 'timestamp': '2024-01-26 01:44:00'}, {'operation': 'open', 'file_name': 'payment_20229158.pptx', 'system': 'FileServer_01', 'is_sensitive': False, 'timestamp': '2024-01-26 11:06:00'}, {'operation': 'open', 'file_name': 'forecast_20235783.csv', 'system': 'Cloud_Storage', 'is_sensitive': False, 'timestamp': '2024-01-26 01:25:00'}, {'operation': 'open', 'file_name': 'payment_20208106.pptx', 'system': 'Database_Dev', 'is_sensitive': False, 'timestamp': '2024-01-26 02:42:00'}, {'operation': 'open', 'file_name': 'private_invoice_20201500.xml', 'system': 'FileServer_01', 'is_sensitive': True, 'timestamp': '2024-01-26 04:50:00'}, {'operation': 'open', 'file_name': 'report_20204597.pptx', 'system': 'SharePoint', 'is_sensitive': False, 'timestamp': '2024-01-26 06:37:00'}, {'operation': 'open', 'file_name': 'invoice_20221633.pptx', 'system': 'Git_Repository', 'is_sensitive': False, 'timestamp': '2024-01-26 00:17:00'}, {'operation': 'copy', 'file_name': 'expense_20208620.pdf', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-26 03:42:00'}]",28,3,6,44865,85,27,27,49,50,47,45,32.74,1,low
UDA4332,Lisa Brown,Finance,CFO,2024-01-10,4,4,0,1,1379,344.75,0,0,7,2,0,0,1,5,15,3,15,"Git_Repository,Salesforce,SharePoint,Database_Production,Cloud_Storage,FileServer_02,FileServer_01","[{'operation': 'open', 'file_name': 'budget_20228069.csv', 'system': 'FileServer_02', 'is_sensitive': False, 'timestamp': '2024-01-10 11:09:00'}, {'operation': 'open', 'file_name': 'confidential_forecast_20204500.zip', 'system': 'Salesforce', 'is_sensitive': True, 'timestamp': '2024-01-10 13:06:00'}, {'operation': 'open', 'file_name': 'forecast_20208628.csv', 'system': 'Git_Repository', 'is_sensitive': False, 'timestamp': '2024-01-10 17:35:00'}, {'operation': 'open', 'file_name': 'payment_20227023.docx', 'system': 'Database_Production', 'is_sensitive': False, 'timestamp': '2024-01-10 23:03:00'}, {'operation': 'open', 'file_name': 'payment_20220577.xml', 'system': 'Git_Repository', 'is_sensitive': False, 'timestamp': '2024-01-10 16:13:00'}, {'operation': 'open', 'file_name': 'invoice_20214797.zip', 'system': 'Cloud_Storage', 'is_sensitive': False, 'timestamp': '2024-01-10 17:23:00'}, {'operation': 'open', 'file_name': 'budget_20237725.txt', 'system': 'Database_Production', 'is_sensitive': False, 'timestamp': '2024-01-10 17:49:00'}, {'operation': 'copy', 'file_name': 'expense_20240312.xml', 'system': 'SharePoint', 'is_sensitive': False, 'timestamp': '2024-01-10 00:38:00'}, {'operation': 'copy', 'file_name': 'private_forecast_20201998.txt', 'system': 'Cloud_Storage', 'is_sensitive': True, 'timestamp': '2024-01-10 11:00:00'}, {'operation': 'upload', 'file_name': 'invoice_20237215.pdf', 'system': 'Salesforce', 'is_sensitive': False, 'timestamp': '2024-01-10 04:47:00'}]",43,11,15,25212,33,12,48,13,10,23,29,43.41,1,low
UDA4332,Lisa Brown,Finance,CFO,2024-01-24,2,2,0,1,317,158.5,0,0,7,2,0,0,0,5,14,3,14,"Database_Dev,Git_Repository,Database_Production,Cloud_Storage,FileServer_01,FileServer_02,HRMS","[{'operation': 'open', 'file_name': 'confidential_transaction_20228689.xlsx', 'system': 'Cloud_Storage', 'is_sensitive': True, 'timestamp': '2024-01-24 18:27:00'}, {'operation': 'open', 'file_name': 'report_20227474.sql', 'system': 'Database_Production', 'is_sensitive': False, 'timestamp': '2024-01-24 00:20:00'}, {'operation': 'open', 'file_name': 'invoice_20230253.xml', 'system': 'Cloud_Storage', 'is_sensitive': False, 'timestamp': '2024-01-24 02:27:00'}, {'operation': 'open', 'file_name': 'expense_20216046.docx', 'system': 'Database_Production', 'is_sensitive': False, 'timestamp': '2024-01-24 16:05:00'}, {'operation': 'open', 'file_name': 'transaction_20222351.txt', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-24 02:32:00'}, {'operation': 'open', 'file_name': 'forecast_20234874.docx', 'system': 'Cloud_Storage', 'is_sensitive': False, 'timestamp': '2024-01-24 11:46:00'}, {'operation': 'open', 'file_name': 'private_expense_20215585.pdf', 'system': 'FileServer_01', 'is_sensitive': True, 'timestamp': '2024-01-24 05:38:00'}, {'operation': 'copy', 'file_name': 'invoice_20211710.docx', 'system': 'Database_Dev', 'is_sensitive': False, 'timestamp': '2024-01-24 14:48:00'}, {'operation': 'copy', 'file_name': 'report_20229520.xml', 'system': 'Git_Repository', 'is_sensitive': False, 'timestamp': '2024-01-24 20:40:00'}, {'operation': 'edit', 'file_name': 'report_20241206.csv', 'system': 'Database_Dev', 'is_sensitive': False, 'timestamp': '2024-01-24 02:30:00'}]",20,5,7,9054,240,81,31,15,42,21,12,20.45,1,low
UDA4332,Lisa Brown,Finance,CFO,2024-01-11,4,4,0,2,1096,274.0,0,0,5,2,0,0,1,4,12,2,12,"Database_Dev,HRMS,Salesforce,SharePoint,Database_Production,Cloud_Storage,FileServer_01,SAP_ERP","[{'operation': 'open', 'file_name': 'internal_report_20221948.pdf', 'system': 'Cloud_Storage', 'is_sensitive': True, 'timestamp': '2024-01-11 09:41:00'}, {'operation': 'open', 'file_name': 'forecast_20208551.sql', 'system': 'Salesforce', 'is_sensitive': False, 'timestamp': '2024-01-11 09:35:00'}, {'operation': 'open', 'file_name': 'transaction_20208476.csv', 'system': 'SharePoint', 'is_sensitive': False, 'timestamp': '2024-01-11 02:41:00'}, {'operation': 'open', 'file_name': 'forecast_20233425.sql', 'system': 'Cloud_Storage', 'is_sensitive': False, 'timestamp': '2024-01-11 09:11:00'}, {'operation': 'open', 'file_name': 'internal_invoice_20231969.csv', 'system': 'HRMS', 'is_sensitive': True, 'timestamp': '2024-01-11 02:18:00'}, {'operation': 'copy', 'file_name': 'expense_20233372.docx', 'system': 'SharePoint', 'is_sensitive': False, 'timestamp': '2024-01-11 01:42:00'}, {'operation': 'copy', 'file_name': 'payment_20208689.xml', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-11 05:11:00'}, {'operation': 'upload', 'file_name': 'expense_20210949.xml', 'system': 'SAP_ERP', 'is_sensitive': False, 'timestamp': '2024-01-11 13:23:00'}, {'operation': 'edit', 'file_name': 'forecast_20229212.pptx', 'system': 'Database_Dev', 'is_sensitive': False, 'timestamp': '2024-01-11 07:34:00'}, {'operation': 'edit', 'file_name': 'invoice_20230838.txt', 'system': 'FileServer_01', 'is_sensitive': False, 'timestamp': '2024-01-11 11:43:00'}]",41,10,12,11723,274,175,28,15,20,27,38,35.11,1,low
UDA4332,Lisa Brown,Finance,CFO,2024-01-30,2,2,0,1,708,354.0,0,0,6,3,0,0,1,5,15,2,15,"Git_Repository,HRMS,Salesforce,Database_Production,Cloud_Storage,FileServer_01,SAP_ERP","[{'operation': 'open', 'file_name': 'budget_20206594.csv', 'system': 'Cloud_Storage', 'is_sensitive': False, 'timestamp': '2024-01-30 04:08:00'}, {'operation': 'open', 'file_name': 'budget_20231063.txt', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-30 22:30:00'}, {'operation': 'open', 'file_name': 'transaction_20200445.xml', 'system': 'SAP_ERP', 'is_sensitive': False, 'timestamp': '2024-01-30 08:13:00'}, {'operation': 'open', 'file_name': 'expense_20236067.pdf', 'system': 'Git_Repository', 'is_sensitive': False, 'timestamp': '2024-01-30 16:27:00'}, {'operation': 'open', 'file_name': 'budget_20215674.txt', 'system': 'SAP_ERP', 'is_sensitive': False, 'timestamp': '2024-01-30 07:26:00'}, {'operation': 'open', 'file_name': 'restricted_forecast_20230058.xml', 'system': 'Git_Repository', 'is_sensitive': True, 'timestamp': '2024-01-30 17:01:00'}, {'operation': 'copy', 'file_name': 'forecast_20237787.json', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-30 09:27:00'}, {'operation': 'copy', 'file_name': 'budget_20223223.xml', 'system': 'Database_Production', 'is_sensitive': False, 'timestamp': '2024-01-30 05:42:00'}, {'operation': 'copy', 'file_name': 'forecast_20234408.docx', 'system': 'Salesforce', 'is_sensitive': False, 'timestamp': '2024-01-30 16:34:00'}, {'operation': 'upload', 'file_name': 'restricted_report_20236417.json', 'system': 'SAP_ERP', 'is_sensitive': True, 'timestamp': '2024-01-30 20:24:00'}]",19,4,9,40588,252,101,22,28,32,13,31,13.46,1,low
UDA4332,Lisa Brown,Finance,CFO,2024-01-04,3,3,0,2,612,204.0,0,0,5,2,0,0,1,2,10,6,10,"Database_Dev,Database_Production,Cloud_Storage,FileServer_01,FileServer_02,HRMS","[{'operation': 'open', 'file_name': 'private_report_20221151.txt', 'system': 'FileServer_02', 'is_sensitive': True, 'timestamp': '2024-01-04 09:28:00'}, {'operation': 'open', 'file_name': 'report_20211022.sql', 'system': 'Cloud_Storage', 'is_sensitive': False, 'timestamp': '2024-01-04 14:02:00'}, {'operation': 'open', 'file_name': 'forecast_20240395.csv', 'system': 'FileServer_02', 'is_sensitive': False, 'timestamp': '2024-01-04 20:50:00'}, {'operation': 'open', 'file_name': 'budget_20226722.docx', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-04 00:09:00'}, {'operation': 'open', 'file_name': 'confidential_expense_20228817.xml', 'system': 'FileServer_01', 'is_sensitive': True, 'timestamp': '2024-01-04 20:23:00'}, {'operation': 'copy', 'file_name': 'internal_payment_20237275.sql', 'system': 'Database_Dev', 'is_sensitive': True, 'timestamp': '2024-01-04 11:23:00'}, {'operation': 'copy', 'file_name': 'private_transaction_20237713.docx', 'system': 'Database_Production', 'is_sensitive': True, 'timestamp': '2024-01-04 10:41:00'}, {'operation': 'upload', 'file_name': 'internal_payment_20207535.pptx', 'system': 'Database_Dev', 'is_sensitive': True, 'timestamp': '2024-01-04 16:24:00'}, {'operation': 'edit', 'file_name': 'report_20217256.docx', 'system': 'Database_Dev', 'is_sensitive': False, 'timestamp': '2024-01-04 06:39:00'}, {'operation': 'edit', 'file_name': 'confidential_payment_20213219.zip', 'system': 'Database_Dev', 'is_sensitive': True, 'timestamp': '2024-01-04 05:57:00'}]",45,10,10,49690,173,98,14,45,44,28,29,58.03,-1,low
UDA4332,Lisa Brown,Finance,CFO,2024-01-15,2,2,0,1,567,283.5,0,0,0,0,0,0,0,2,2,1,2,"Database_Dev,Salesforce","[{'operation': 'edit', 'file_name': 'budget_20220370.docx', 'system': 'Database_Dev', 'is_sensitive': False, 'timestamp': '2024-01-15 16:26:00'}, {'operation': 'edit', 'file_name': 'private_expense_20237777.sql', 'system': 'Salesforce', 'is_sensitive': True, 'timestamp': '2024-01-15 14:29:00'}]",43,10,10,41130,103,62,18,37,42,13,17,21.36,1,low
UDA4332,Lisa Brown,Finance,CFO,2024-01-03,3,3,0,2,933,311.0,0,0,4,1,0,0,0,5,10,2,10,"Git_Repository,Database_Dev,SharePoint,Database_Production,Cloud_Storage,FileServer_01","[{'operation': 'open', 'file_name': 'report_20211320.pdf', 'system': 'Git_Repository', 'is_sensitive': False, 'timestamp': '2024-01-03 10:53:00'}, {'operation': 'open', 'file_name': 'private_report_20201960.xlsx', 'system': 'FileServer_01', 'is_sensitive': True, 'timestamp': '2024-01-03 18:26:00'}, {'operation': 'open', 'file_name': 'report_20232740.xlsx', 'system': 'SharePoint', 'is_sensitive': False, 'timestamp': '2024-01-03 09:41:00'}, {'operation': 'open', 'file_name': 'payment_20216149.zip', 'system': 'Database_Production', 'is_sensitive': False, 'timestamp': '2024-01-03 09:29:00'}, {'operation': 'copy', 'file_name': 'budget_20210460.xlsx', 'system': 'Database_Dev', 'is_sensitive': False, 'timestamp': '2024-01-03 14:13:00'}, {'operation': 'edit', 'file_name': 'payment_20209516.xml', 'system': 'Cloud_Storage', 'is_sensitive': False, 'timestamp': '2024-01-03 23:55:00'}, {'operation': 'edit', 'file_name': 'payment_20208670.sql', 'system': 'SharePoint', 'is_sensitive': False, 'timestamp': '2024-01-03 17:06:00'}, {'operation': 'edit', 'file_name': 'restricted_payment_20230671.pptx', 'system': 'FileServer_01', 'is_sensitive': True, 'timestamp': '2024-01-03 04:06:00'}, {'operation': 'edit', 'file_name': 'budget_20225276.txt', 'system': 'Database_Production', 'is_sensitive': False, 'timestamp': '2024-01-03 07:55:00'}, {'operation': 'edit', 'file_name': 'invoice_20237960.csv', 'system': 'FileServer_01', 'is_sensitive': False, 'timestamp': '2024-01-03 05:31:00'}]",32,7,14,37595,21,7,35,42,39,25,23,24.17,1,low
UDA4332,Lisa Brown,Finance,CFO,2024-01-05,1,1,0,1,335,335.0,0,0,7,1,0,0,0,9,17,5,17,"Git_Repository,Salesforce,SharePoint,Database_Production,Cloud_Storage,SAP_ERP,FileServer_01,FileServer_02,HRMS","[{'operation': 'open', 'file_name': 'confidential_payment_20224083.sql', 'system': 'Git_Repository', 'is_sensitive': True, 'timestamp': '2024-01-05 17:12:00'}, {'operation': 'open', 'file_name': 'restricted_payment_20219014.json', 'system': 'SharePoint', 'is_sensitive': True, 'timestamp': '2024-01-05 08:52:00'}, {'operation': 'open', 'file_name': 'confidential_report_20207887.xml', 'system': 'Database_Production', 'is_sensitive': True, 'timestamp': '2024-01-05 11:50:00'}, {'operation': 'open', 'file_name': 'payment_20224061.json', 'system': 'FileServer_01', 'is_sensitive': False, 'timestamp': '2024-01-05 19:32:00'}, {'operation': 'open', 'file_name': 'internal_transaction_20202739.json', 'system': 'Cloud_Storage', 'is_sensitive': True, 'timestamp': '2024-01-05 15:33:00'}, {'operation': 'open', 'file_name': 'transaction_20239832.pdf', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-05 10:59:00'}, {'operation': 'open', 'file_name': 'report_20210750.csv', 'system': 'Git_Repository', 'is_sensitive': False, 'timestamp': '2024-01-05 23:53:00'}, {'operation': 'copy', 'file_name': 'payment_20222145.xml', 'system': 'SharePoint', 'is_sensitive': False, 'timestamp': '2024-01-05 17:31:00'}, {'operation': 'edit', 'file_name': 'forecast_20219748.xml', 'system': 'SAP_ERP', 'is_sensitive': False, 'timestamp': '2024-01-05 11:21:00'}, {'operation': 'edit', 'file_name': 'forecast_20227399.docx', 'system': 'SAP_ERP', 'is_sensitive': False, 'timestamp': '2024-01-05 19:30:00'}]",12,4,3,24562,125,84,29,28,23,41,30,35.6,1,low
UDA4332,Lisa Brown,Finance,CFO,2024-01-08,5,5,0,2,1753,350.6,0,0,5,1,0,0,1,3,10,1,10,"Git_Repository,Database_Dev,SAP_ERP,FileServer_01,FileServer_02,HRMS","[{'operation': 'open', 'file_name': 'payment_20207259.pdf', 'system': 'Git_Repository', 'is_sensitive': False, 'timestamp': '2024-01-08 07:15:00'}, {'operation': 'open', 'file_name': 'budget_20214890.json', 'system': 'SAP_ERP', 'is_sensitive': False, 'timestamp': '2024-01-08 03:26:00'}, {'operation': 'open', 'file_name': 'payment_20206690.zip', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-08 00:35:00'}, {'operation': 'open', 'file_name': 'invoice_20231276.sql', 'system': 'FileServer_01', 'is_sensitive': False, 'timestamp': '2024-01-08 09:20:00'}, {'operation': 'open', 'file_name': 'payment_20205963.xlsx', 'system': 'FileServer_01', 'is_sensitive': False, 'timestamp': '2024-01-08 17:47:00'}, {'operation': 'copy', 'file_name': 'forecast_20211574.xlsx', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-08 01:53:00'}, {'operation': 'upload', 'file_name': 'transaction_20212311.zip', 'system': 'FileServer_02', 'is_sensitive': False, 'timestamp': '2024-01-08 01:00:00'}, {'operation': 'edit', 'file_name': 'private_payment_20239604.xml', 'system': 'FileServer_02', 'is_sensitive': True, 'timestamp': '2024-01-08 14:41:00'}, {'operation': 'edit', 'file_name': 'report_20232470.json', 'system': 'HRMS', 'is_sensitive': False, 'timestamp': '2024-01-08 16:29:00'}, {'operation': 'edit', 'file_name': 'payment_20207483.pptx', 'system': 'Database_Dev', 'is_sensitive': False, 'timestamp': '2024-01-08 20:16:00'}]",45,7,18,24334,300,170,22,21,49,50,35,23.04,1,low
